Gender,Measures,Weights,Age
I,"(0.9125, 0.675, 0.2125)","(2.65067825, 1.48834875, 1.871067)",7
I,"(0.875, 0.625, 0.175)","(2.02698925, 0.94970825, 1.304077)",6
I,"(0.7, 0.5375, 0.2)","(2.041164, 0.623689, 0.9355335)",5
F,"(1.5625, 1.2125, 0.475)","(12.43125575, 6.53455975, 11.90679)",17
F,"(1.4875, 1.1875, 0.4)","(15.5071765, 6.5487345, 7.6827145)",6
I,"(0.6875, 0.5, 0.1375)","(1.077281, 0.5953395, 0.737087)",4
F,"(1.2125, 0.95, 0.375)","(6.10931725, 3.96893, 5.10291)",15
F,"(1.225, 0.9125, 0.325)","(4.6776675, 3.72795925, 5.8116475)",21
M,"(1.5125, 1.175, 0.45)","(13.5794105, 7.27164675, 9.1001895)",10
F,"(1.075, 0.875, 0.225)","(4.46504625, 2.5231055, 3.40194)",9
M,"(1.25, 0.95, 0.3875)","(6.05261825, 4.5642695, 5.6699)",12
I,"(1.525, 1.15, 0.425)","(11.623295, 7.2858215, 10.489315)",17
M,"(1.3375, 1.025, 0.3375)","(8.09378225, 4.32329875, 9.07184)",14
F,"(0.9875, 0.75, 0.2625)","(4.06815325, 2.14038725, 2.778251)",12
M,"(1.675, 1.3625, 0.5)","(23.6151335, 10.602713, 11.623295)",11
F,"(1.5375, 1.2, 0.4125)","(14.5432935, 8.5331995, 8.6465975)",10
M,"(0.7875, 0.625, 0.225)","(1.74349425, 1.0489315, 2.25378525)",11
F,"(1.6125, 1.225, 0.4)","(14.21727425, 8.1930055, 9.0434905)",8
M,"(1.575, 1.225, 0.4)","(11.5382465, 6.350288, 10.035723)",12
F,"(1.5375, 1.1625, 0.375)","(13.08329425, 5.17378375, 6.84640425)",9
I,"(1.4, 1.0875, 0.325)","(10.035723, 4.9044635, 6.293589)",9
F,"(1.2375, 0.925, 0.3)","(7.93786, 3.118445, 3.89805625)",7
M,"(1.6375, 1.35, 0.5375)","(21.04950375, 9.2702865, 16.5844575)",22
F,"(1.55, 1.2, 0.4125)","(13.70698325, 6.2652395, 8.788345)",10
M,"(0.875, 0.6375, 0.2125)","(2.83495, 1.31825175, 1.70097)",13
F,"(1.3375, 1.15, 0.3625)","(9.62465525, 5.68407475, 5.6699)",8
F,"(1.15, 0.8875, 0.325)","(5.443104, 2.99087225, 3.685435)",13
M,"(1.4125, 1.1375, 0.4625)","(10.035723, 4.46504625, 10.6310625)",16
M,"(1.55, 1.2, 0.375)","(17.81766075, 7.29999625, 8.7599955)",12
F,"(1.475, 1.2125, 0.5125)","(12.82814875, 6.747181, 11.90679)",13
M,"(1.3125, 1.0, 0.325)","(7.52679225, 4.1673765, 5.216308)",9
I,"(1.3125, 1.075, 0.375)","(9.14271375, 4.5642695, 6.0951425)",11
I,"(1.25, 0.925, 0.2875)","(8.674947, 3.175144, 3.9972795)",7
I,"(1.1625, 0.9125, 0.2875)","(6.56290925, 2.62232875, 3.2034935)",7
I,"(1.2125, 0.9125, 0.35)","(5.37223025, 2.62232875, 6.53455975)",8
M,"(1.6625, 1.2875, 0.475)","(23.5584345, 10.13494625, 10.5176645)",11
F,"(1.6625, 1.2875, 0.4625)","(15.86154525, 8.3064035, 12.40290625)",11
I,"(0.9625, 0.7, 0.25)","(3.69960975, 1.7293195, 2.05533875)",8
M,"(1.15, 0.8875, 0.275)","(6.0951425, 2.324659, 3.685435)",12
I,"(0.9125, 0.6875, 0.225)","(3.061746, 1.4458245, 1.77184375)",7
M,"(1.1625, 0.85, 0.2625)","(6.5487345, 2.93417325, 3.47281375)",9
I,"(1.0375, 0.825, 0.225)","(4.819415, 2.2963095, 2.551455)",6
M,"(1.5375, 1.175, 0.4125)","(12.65805175, 6.22271525, 9.63883)",10
I,"(1.175, 0.9125, 0.25)","(4.9611625, 2.42388225, 3.8271825)",8
I,"(1.3625, 1.075, 0.375)","(9.99319875, 4.479221, 5.896696)",10
F,"(1.7, 1.375, 0.5)","(14.8834875, 11.55242125, 16.5844575)",21
F,"(1.6875, 1.425, 0.5625)","(20.9502805, 8.49067525, 12.3320325)",10
M,"(1.3875, 1.0875, 0.3375)","(10.6877615, 4.49339575, 8.221355)",15
M,"(1.375, 1.125, 0.425)","(8.9867915, 4.4508715, 6.23689)",11
F,"(1.4625, 1.0875, 0.4375)","(11.49572225, 7.07320025, 7.654365)",10
F,"(1.4125, 1.1, 0.4)","(10.035723, 5.48562825, 9.07184)",12
F,"(1.7, 1.375, 0.525)","(16.93882625, 8.6465975, 17.7184375)",17
F,"(1.625, 1.3625, 0.4375)","(16.726205, 9.241937, 14.0330025)",10
I,"(0.925, 0.6875, 0.25)","(2.50893075, 1.31825175, 1.984465)",7
M,"(1.1375, 0.8875, 0.325)","(5.6699, 3.61456125, 4.9611625)",11
F,"(1.55, 1.2875, 0.3875)","(18.95164075, 7.38504475, 9.4970825)",12
M,"(1.075, 0.8375, 0.3)","(5.62737575, 2.45223175, 2.93417325)",7
I,"(0.6125, 0.5125, 0.15)","(0.963883, 0.396893, 0.60951425)",4
F,"(1.575, 1.2375, 0.3625)","(15.46465225, 7.540967, 8.17883075)",9
M,"(0.8, 0.6125, 0.1875)","(1.65844575, 1.077281, 1.3891255)",11
F,"(1.5125, 1.2625, 0.45)","(20.65261075, 7.484268, 12.2186345)",11
M,"(1.4625, 1.225, 0.4625)","(14.798439, 7.18659825, 9.4970825)",10
I,"(0.9, 0.6875, 0.2375)","(2.381358, 1.23320325, 2.551455)",7
I,"(1.0125, 0.7125, 0.225)","(3.58621175, 1.43164975, 2.1262125)",6
I,"(1.0625, 0.7875, 0.2375)","(5.28718175, 1.91359125, 2.79242575)",7
F,"(1.6, 1.2375, 0.425)","(13.891255, 10.6877615, 8.15048125)",11
I,"(0.5125, 0.375, 0.1625)","(0.56699, 0.3118445, 0.3685435)",4
M,"(1.0, 0.7625, 0.2125)","(3.061746, 1.99863975, 2.83495)",10
M,"(1.125, 0.8875, 0.3)","(4.1673765, 2.16873675, 4.1106775)",9
I,"(1.375, 1.05, 0.3375)","(11.32562525, 4.20990075, 6.520385)",12
I,"(0.95, 0.7125, 0.225)","(2.84912475, 1.1056305, 2.19708625)",7
I,"(0.625, 0.4625, 0.1625)","(0.83631025, 0.396893, 0.63786375)",5
M,"(1.525, 1.175, 0.4125)","(14.118051, 6.860579, 7.5693165)",9
M,"(1.6375, 1.225, 0.4375)","(18.12950525, 8.334753, 10.3475675)",10
M,"(1.5375, 1.275, 0.375)","(15.4504775, 9.39785925, 9.07184)",9
M,"(1.8125, 1.425, 0.475)","(35.5219235, 15.3370795, 14.74174)",9
I,"(1.1375, 0.8375, 0.2625)","(6.4920355, 2.45223175, 2.83495)",6
M,"(0.7, 0.525, 0.2)","(1.1623295, 0.75126175, 0.97805775)",7
F,"(1.5625, 1.2875, 0.3875)","(13.82038125, 7.3425205, 10.0640725)",11
M,"(1.375, 0.9625, 0.325)","(9.7238785, 4.60679375, 5.386405)",8
M,"(1.525, 1.2, 0.4125)","(17.98775775, 7.2858215, 8.6465975)",12
F,"(1.1, 0.8625, 0.425)","(4.252425, 2.33883375, 4.29494925)",12
M,"(1.525, 1.175, 0.3875)","(14.0897015, 6.16601625, 7.89533575)",9
F,"(0.875, 0.6875, 0.1625)","(2.11203775, 1.31825175, 1.984465)",10
F,"(1.2, 0.9375, 0.2625)","(6.19436575, 3.38776525, 4.3941725)",12
F,"(1.3125, 1.025, 0.2875)","(11.793392, 4.6209685, 5.10291)",7
F,"(1.7375, 1.3375, 0.5)","(18.9091165, 9.468733, 13.3526145)",11
M,"(1.4125, 1.1, 0.3125)","(10.19164525, 5.17378375, 6.0951425)",9
I,"(0.9375, 0.725, 0.2125)","(3.345241, 1.2757275, 1.97029025)",7
F,"(1.4625, 1.1625, 0.3625)","(12.26115875, 6.08096775, 8.06543275)",10
F,"(1.725, 1.35, 0.4875)","(20.695135, 11.26892625, 13.097469)",12
I,"(0.975, 0.75, 0.2625)","(2.70737725, 1.077281, 2.4097075)",8
I,"(0.8, 0.575, 0.15)","(1.74349425, 0.77961125, 1.00640725)",7
M,"(1.55, 1.275, 0.4375)","(12.40290625, 6.42116175, 11.3398)",12
F,"(1.675, 1.3625, 0.4375)","(19.83047525, 10.9712565, 16.3009625)",13
I,"(0.9, 0.7, 0.225)","(2.50893075, 1.13398, 2.551455)",8
F,"(1.2125, 0.9125, 0.35)","(7.35669525, 4.09650275, 5.0178615)",14
F,"(1.2125, 0.9375, 0.3625)","(6.76135575, 3.27436725, 5.386405)",13
F,"(1.7625, 1.3375, 0.45)","(19.6462035, 11.90679, 11.46737275)",12
M,"(1.4625, 1.1625, 0.4)","(13.02659525, 6.690482, 7.5126175)",7
F,"(1.4375, 1.1125, 0.35)","(10.90038275, 7.144074, 8.0796075)",9
F,"(1.1, 0.85, 0.325)","(4.3374735, 3.27436725, 3.685435)",10
M,"(1.325, 1.0625, 0.325)","(8.43397625, 3.95475525, 6.23689)",9
F,"(1.425, 1.1625, 0.4)","(8.91591775, 7.29999625, 7.4559185)",10
F,"(1.4625, 1.175, 0.425)","(11.26892625, 6.59125875, 10.149121)",20
I,"(1.175, 0.875, 0.325)","(5.23048275, 2.8066005, 4.1106775)",11
M,"(1.525, 1.2, 0.35)","(14.628342, 6.3786375, 8.26387925)",11
M,"(1.1, 0.8875, 0.3125)","(3.742134, 2.31048425, 5.386405)",9
M,"(1.6125, 1.2375, 0.4625)","(14.92601175, 7.89533575, 12.8990225)",15
I,"(1.1, 0.8, 0.2375)","(4.23825025, 1.6726205, 2.83495)",8
M,"(1.675, 1.3, 0.475)","(23.00561925, 10.4609655, 11.0846545)",9
I,"(1.0875, 0.85, 0.275)","(4.23825025, 2.4097075, 3.40194)",8
F,"(1.0, 0.8125, 0.3)","(3.798833, 1.60174675, 2.6932025)",8
F,"(1.55, 1.25, 0.4375)","(14.13222575, 8.54737425, 9.922325)",12
F,"(1.4875, 1.25, 0.45)","(12.48795475, 5.443104, 11.056305)",13
F,"(1.4625, 1.1875, 0.4125)","(12.984071, 6.1518415, 8.50485)",11
F,"(1.425, 1.0875, 0.35)","(9.17106325, 5.1879585, 6.23689)",16
I,"(1.125, 0.8875, 0.3)","(3.24601775, 1.88524175, 4.53592)",19
I,"(1.325, 1.075, 0.325)","(9.808927, 4.01145425, 5.3580555)",9
I,"(0.8, 0.6, 0.175)","(1.65844575, 0.72291225, 1.1623295)",6
M,"(1.625, 1.3125, 0.4625)","(18.83824275, 9.14271375, 13.5227115)",10
M,"(1.9125, 1.4625, 0.45)","(31.978236, 14.514944, 15.12445825)",12
M,"(1.575, 1.275, 0.475)","(11.69416875, 8.71747125, 15.4504775)",16
M,"(1.4875, 1.2, 0.4125)","(13.70698325, 8.0229085, 11.623295)",17
M,"(1.25, 1.05, 0.3375)","(8.561549, 4.01145425, 5.85417175)",9
M,"(1.675, 1.35, 0.4875)","(15.081934, 7.75358825, 9.39785925)",11
M,"(1.25, 1.0, 0.4125)","(7.200773, 5.8116475, 8.0796075)",13
F,"(1.1375, 0.875, 0.35)","(6.2652395, 3.58621175, 3.8271825)",10
F,"(1.075, 0.8125, 0.2875)","(4.18155125, 3.01922175, 3.118445)",11
I,"(1.55, 1.2125, 0.425)","(13.62193475, 8.63242275, 9.355335)",15
M,"(0.875, 0.6625, 0.275)","(3.86970675, 1.7860185, 2.4097075)",7
M,"(1.5, 1.1875, 0.375)","(14.72756525, 6.3219385, 8.278054)",11
F,"(1.5625, 1.1875, 0.4375)","(13.48018725, 7.01650125, 9.8939755)",10
F,"(1.5625, 1.2125, 0.4125)","(14.38737125, 8.391452, 10.20582)",10
I,"(1.0, 0.775, 0.2875)","(4.37999775, 1.68679525, 2.4664065)",6
M,"(0.7375, 0.5625, 0.225)","(1.360776, 1.304077, 1.417475)",9
F,"(1.45, 1.1375, 0.4125)","(10.4609655, 8.51902475, 7.7961125)",13
I,"(1.35, 1.0125, 0.375)","(8.7032965, 5.88252125, 5.386405)",10
F,"(1.6125, 1.225, 0.5375)","(12.09106175, 6.47786075, 14.458245)",25
F,"(1.55, 1.2125, 0.55)","(14.44407025, 8.051258, 14.458245)",17
F,"(1.6875, 1.3125, 0.425)","(23.71435675, 9.979024, 13.4660125)",9
I,"(1.35, 1.0625, 0.325)","(8.37727725, 4.7910655, 6.3786375)",10
M,"(1.7125, 1.3625, 0.5125)","(23.09066775, 11.793392, 13.0691195)",9
M,"(1.125, 0.825, 0.2625)","(7.29999625, 2.324659, 3.6570855)",8
M,"(1.175, 0.925, 0.45)","(5.42892925, 3.64291075, 4.60679375)",9
I,"(1.4, 1.1, 0.35)","(11.396499, 3.9405805, 6.9456275)",10
M,"(1.55, 1.175, 0.375)","(16.6411565, 12.48795475, 9.2135875)",9
F,"(0.975, 0.75, 0.25)","(3.04757125, 1.70097, 2.45223175)",13
M,"(1.525, 1.2, 0.4125)","(15.80484625, 7.58349125, 10.546014)",8
F,"(1.35, 1.0375, 0.4375)","(7.7961125, 6.8322295, 7.7961125)",14
F,"(1.2125, 0.925, 0.2875)","(5.65572525, 2.70737725, 3.6570855)",7
I,"(1.3125, 0.975, 0.2625)","(8.15048125, 3.04757125, 4.53592)",8
M,"(1.5625, 1.1625, 0.35)","(13.67863375, 5.8116475, 11.3398)",13
F,"(1.2, 0.9125, 0.3375)","(8.34892775, 3.2034935, 4.9611625)",8
M,"(1.125, 0.875, 0.325)","(5.88252125, 2.96252275, 3.8271825)",8
I,"(1.475, 1.1625, 0.4875)","(10.44679075, 5.3013565, 10.6310625)",17
M,"(1.5125, 1.1125, 0.35)","(12.17611025, 5.91087075, 8.3631025)",12
I,"(1.0125, 0.775, 0.275)","(11.793392, 5.88252125, 2.82077525)",8
I,"(1.125, 0.875, 0.3625)","(5.91087075, 2.83495, 4.69184225)",15
I,"(0.6875, 0.55, 0.2)","(1.60174675, 0.80796075, 1.190679)",6
F,"(1.5875, 1.2625, 0.4625)","(14.2030995, 8.3631025, 11.623295)",17
M,"(1.3875, 1.1125, 0.325)","(11.97766375, 4.3941725, 6.80388)",9
F,"(1.3625, 1.0, 0.35)","(10.432616, 6.0951425, 5.10291)",9
I,"(0.975, 0.725, 0.225)","(3.8271825, 1.28990225, 2.211261)",8
I,"(1.3875, 1.0625, 0.325)","(8.03708325, 3.7704835, 5.96756975)",8
F,"(1.6375, 1.2625, 0.4375)","(17.59086475, 8.40562675, 9.241937)",10
M,"(1.3625, 1.125, 0.375)","(9.53960675, 5.40057975, 8.50485)",11
M,"(1.1625, 0.875, 0.35)","(5.71242425, 4.26659975, 5.386405)",15
I,"(0.7375, 0.55, 0.1625)","(1.474174, 0.793786, 0.9922325)",6
M,"(0.875, 0.65, 0.225)","(2.05533875, 1.587572, 1.70097)",10
M,"(1.2, 0.95, 0.3375)","(5.6699, 3.95475525, 4.53592)",14
F,"(1.5625, 1.2125, 0.375)","(15.0535845, 7.3992195, 8.391452)",10
I,"(1.1375, 0.8875, 0.2)","(6.13766675, 2.82077525, 3.5436875)",9
F,"(1.8625, 1.4625, 0.475)","(23.91280325, 12.3887315, 16.59863225)",18
I,"(0.925, 0.725, 0.25)","(2.90582375, 1.43164975, 2.4097075)",10
F,"(1.6, 1.2625, 0.475)","(13.70698325, 9.298636, 11.3398)",12
M,"(1.45, 1.125, 0.3875)","(9.1001895, 5.59902625, 6.93145275)",8
I,"(1.5125, 1.175, 0.3625)","(10.7444605, 6.42116175, 6.23689)",9
M,"(1.625, 1.2625, 0.475)","(16.726205, 6.520385, 11.0846545)",11
I,"(0.325, 0.2375, 0.0875)","(0.1417475, 0.18427175, 0.09922325)",4
F,"(1.5375, 1.1875, 0.4375)","(15.8473705, 7.3425205, 8.97261675)",11
I,"(1.6625, 1.25, 0.425)","(17.10892325, 8.2497045, 10.19164525)",9
I,"(1.375, 1.0375, 0.3625)","(10.5743635, 4.53592, 6.27941425)",8
I,"(1.1625, 0.8625, 0.275)","(4.97533725, 2.56562975, 3.40194)",7
F,"(1.375, 1.0375, 0.3375)","(9.015141, 5.953395, 5.6699)",9
I,"(1.4625, 1.1875, 0.4)","(13.60776, 6.633783, 8.0796075)",10
M,"(1.85, 1.45, 0.5125)","(23.11901725, 13.31009025, 13.834556)",12
M,"(1.7125, 1.3, 0.4125)","(19.8163005, 10.44679075, 11.3398)",10
F,"(1.6625, 1.275, 0.4375)","(19.1359125, 8.46232575, 9.2135875)",10
M,"(1.575, 1.2625, 0.4125)","(12.82814875, 7.81028725, 11.509897)",14
M,"(1.45, 1.15, 0.375)","(13.9196045, 6.2652395, 7.5126175)",9
I,"(0.9375, 0.7125, 0.225)","(2.96252275, 1.757669, 2.1262125)",7
M,"(1.3625, 1.1, 0.35)","(10.092422, 5.40057975, 6.76135575)",11
F,"(1.0875, 0.9875, 0.2625)","(3.855532, 2.778251, 3.685435)",9
F,"(1.075, 0.8375, 0.3)","(4.3941725, 3.24601775, 3.96893)",13
M,"(0.9375, 0.75, 0.25)","(2.948348, 1.34660125, 2.3530085)",11
F,"(0.7625, 0.5625, 0.175)","(1.65844575, 0.94970825, 1.2757275)",7
I,"(1.4375, 1.1375, 0.4)","(14.0330025, 5.5281525, 6.973977)",9
M,"(1.6875, 1.3875, 0.5)","(15.4504775, 7.55514175, 13.1825175)",21
F,"(1.6125, 1.2125, 0.375)","(16.82542825, 6.56290925, 8.3064035)",12
I,"(1.3375, 1.025, 0.3875)","(7.78193775, 4.01145425, 5.14543425)",12
M,"(1.425, 1.2, 0.45)","(11.3114505, 5.6699, 8.3631025)",14
M,"(1.2125, 0.975, 0.3375)","(7.087375, 3.81300775, 4.63514325)",8
F,"(1.5125, 1.25, 0.4625)","(13.2959155, 7.32834575, 9.4970825)",9
M,"(0.6375, 0.45, 0.1625)","(0.963883, 0.396893, 0.7087375)",5
F,"(1.45, 1.1875, 0.3875)","(12.20445975, 6.520385, 8.0796075)",10
F,"(1.4125, 1.125, 0.4625)","(8.561549, 5.11708475, 7.5126175)",12
M,"(1.5, 1.125, 0.4875)","(17.4916415, 9.22776225, 10.21999475)",10
I,"(1.225, 0.9375, 0.2875)","(6.44951125, 3.78465825, 5.00368675)",8
I,"(0.8125, 0.6, 0.1875)","(1.8427175, 0.86465975, 1.2757275)",6
M,"(1.1, 0.875, 0.35)","(4.8477645, 1.99863975, 5.216308)",16
I,"(1.1625, 0.8875, 0.225)","(5.68407475, 2.097863, 3.61456125)",9
I,"(0.9875, 0.8, 0.25)","(4.2240755, 1.51669825, 2.551455)",8
I,"(0.875, 0.65, 0.2125)","(1.99863975, 0.97805775, 1.70097)",10
F,"(1.3125, 1.0375, 0.425)","(7.81028725, 4.77689075, 8.788345)",13
F,"(1.2625, 0.95, 0.3625)","(8.32057825, 5.386405, 4.819415)",12
M,"(1.475, 1.15, 0.3875)","(9.2702865, 4.20990075, 9.4970825)",15
F,"(1.2875, 1.0375, 0.325)","(7.824462, 5.556502, 7.087375)",13
M,"(1.3875, 1.1, 0.3375)","(10.78698475, 5.96756975, 7.93786)",13
M,"(1.5625, 1.175, 0.425)","(13.05494475, 7.27164675, 11.18387775)",11
M,"(1.575, 1.225, 0.3875)","(17.860185, 6.973977, 8.1930055)",9
F,"(1.4375, 1.075, 0.3875)","(9.87980075, 5.45727875, 6.23689)",9
M,"(1.325, 1.0625, 0.325)","(8.49067525, 3.84135725, 6.9456275)",10
I,"(1.2875, 1.0, 0.3375)","(9.07184, 3.55786225, 4.9611625)",9
I,"(0.85, 0.6375, 0.1875)","(2.11203775, 1.13398, 1.48834875)",6
M,"(1.7875, 1.4125, 0.4375)","(21.67319275, 11.86426575, 11.72251825)",10
M,"(1.475, 1.1, 0.375)","(10.375917, 6.87475375, 8.3631025)",11
M,"(1.5625, 1.225, 0.4375)","(16.17338975, 7.6827145, 11.4815475)",10
M,"(1.45, 1.075, 0.3125)","(12.643877, 5.88252125, 3.4302895)",10
I,"(1.4, 1.0875, 0.3375)","(9.3269855, 2.9199985, 7.1157245)",11
M,"(1.6125, 1.25, 0.4375)","(16.00329275, 8.164656, 10.942907)",12
M,"(0.875, 0.6625, 0.225)","(2.82077525, 1.37495075, 1.984465)",7
F,"(1.6875, 1.275, 0.4875)","(17.13727275, 9.00096625, 11.24057675)",10
F,"(1.625, 1.1875, 0.4125)","(16.44271, 9.87980075, 8.77417025)",9
M,"(1.3875, 1.075, 0.4125)","(7.75358825, 4.63514325, 7.7961125)",13
F,"(1.4625, 1.1375, 0.425)","(12.06271225, 7.4559185, 8.06543275)",11
I,"(1.35, 1.025, 0.3375)","(8.788345, 5.0178615, 5.6699)",8
M,"(0.85, 0.6875, 0.225)","(2.05533875, 1.2190285, 1.984465)",10
F,"(1.5875, 1.25, 0.4375)","(19.391058, 8.51902475, 11.056305)",12
F,"(1.6125, 1.3125, 0.475)","(18.75319425, 9.73805325, 12.3320325)",19
F,"(1.3625, 1.025, 0.3125)","(8.43397625, 4.139027, 5.953395)",11
F,"(1.5125, 1.2, 0.35)","(13.42348825, 6.64795775, 6.80388)",8
M,"(1.525, 1.25, 0.4125)","(13.93377925, 5.2446575, 13.891255)",12
M,"(1.0375, 0.8625, 0.3375)","(3.628736, 1.984465, 4.195726)",13
M,"(1.575, 1.2375, 0.4)","(14.0897015, 6.2652395, 8.9300925)",12
M,"(1.5625, 1.2375, 0.4625)","(20.14231975, 8.51902475, 9.7805775)",11
I,"(1.4375, 1.0625, 0.3375)","(10.319218, 5.556502, 6.7755305)",10
I,"(1.1, 0.8625, 0.3)","(5.57067675, 3.061746, 4.53592)",14
M,"(1.7875, 1.375, 0.4375)","(26.591831, 10.78698475, 12.47378)",11
F,"(1.375, 1.1, 0.3125)","(9.355335, 6.02426875, 6.9456275)",9
M,"(1.4, 1.125, 0.3625)","(12.0485375, 4.66349275, 7.72523875)",11
I,"(1.0, 0.7875, 0.2125)","(3.288542, 1.65844575, 2.16873675)",6
M,"(1.3, 0.9625, 0.4125)","(10.6310625, 5.10291, 5.14543425)",10
M,"(1.725, 1.3125, 0.5)","(25.98231675, 9.42620875, 13.0691195)",12
F,"(1.575, 1.2, 0.4125)","(15.60639975, 7.8528115, 11.01378075)",10
I,"(0.9375, 0.6125, 0.25)","(4.706017, 2.5798045, 3.18931875)",6
I,"(0.8875, 0.675, 0.1875)","(2.2396105, 0.89300925, 1.530873)",6
F,"(1.6625, 1.25, 0.4375)","(16.8679525, 8.57572375, 20.5533875)",21
M,"(1.5, 1.2, 0.4125)","(11.72251825, 5.57067675, 7.72523875)",9
F,"(1.55, 1.35, 0.4125)","(14.16057525, 6.90310325, 10.1207715)",11
M,"(1.6125, 1.2625, 0.4125)","(12.28950825, 7.427569, 14.74174)",10
F,"(1.4125, 1.0, 0.325)","(8.71747125, 4.72019175, 5.10291)",8
I,"(0.7375, 0.55, 0.175)","(1.63009625, 0.83631025, 0.9922325)",6
I,"(1.425, 1.1125, 0.3625)","(8.674947, 4.876114, 5.17378375)",12
F,"(1.175, 0.8875, 0.35)","(4.32329875, 2.6932025, 4.309124)",12
F,"(1.725, 1.375, 0.5)","(19.4761065, 10.41844125, 13.04077)",12
I,"(1.1125, 0.825, 0.25)","(4.6209685, 2.14038725, 4.819415)",13
F,"(1.7875, 1.4125, 0.6)","(20.53921275, 13.1825175, 25.0893075)",17
M,"(1.575, 1.225, 0.475)","(13.99047825, 9.53960675, 8.0796075)",11
I,"(0.75, 0.5375, 0.125)","(1.360776, 0.63786375, 1.190679)",4
F,"(1.5875, 1.2125, 0.475)","(17.973583, 8.17883075, 11.509897)",11
I,"(1.0875, 0.8375, 0.25)","(3.6570855, 1.984465, 3.118445)",7
F,"(1.8625, 1.425, 0.5375)","(32.78619675, 12.643877, 15.819021)",9
M,"(1.5, 1.175, 0.375)","(11.97766375, 5.1879585, 7.7961125)",8
M,"(1.6, 1.2625, 0.3875)","(15.77649675, 5.9817445, 9.808927)",11
M,"(1.3, 0.95, 0.3375)","(7.10154975, 4.43669675, 4.9611625)",8
I,"(1.05, 0.8125, 0.25)","(4.74854125, 1.77184375, 3.21766825)",11
M,"(1.4875, 1.2125, 0.375)","(15.03940975, 6.5487345, 7.824462)",8
I,"(1.275, 1.0125, 0.3125)","(9.82310175, 3.95475525, 5.159609)",8
F,"(1.225, 0.95, 0.325)","(6.4920355, 3.84135725, 4.6776675)",12
I,"(1.3, 0.95, 0.3125)","(8.164656, 3.67126025, 4.7343665)",8
I,"(1.4375, 1.1125, 0.425)","(9.85145125, 4.15320175, 7.087375)",9
F,"(1.3125, 1.075, 0.4125)","(8.1930055, 4.94698775, 5.5281525)",10
I,"(1.375, 1.1625, 0.375)","(13.6361095, 4.932813, 6.90310325)",9
F,"(1.5125, 1.2, 0.375)","(12.77144975, 8.03708325, 8.3064035)",10
F,"(0.9, 0.675, 0.225)","(2.39553275, 1.09145575, 1.5592225)",5
M,"(1.25, 0.9625, 0.3625)","(6.973977, 5.5281525, 5.783298)",14
M,"(1.25, 0.95, 0.3125)","(7.6260155, 3.58621175, 4.35164825)",9
M,"(1.775, 1.3875, 0.4875)","(26.80445225, 10.67358675, 14.0330025)",12
I,"(1.2875, 1.0, 0.3)","(7.66853975, 5.0745605, 4.819415)",13
M,"(1.0125, 0.7625, 0.2125)","(3.24601775, 1.68679525, 2.4097075)",8
I,"(0.35, 0.2625, 0.0875)","(0.15592225, 0.07087375, 0.113398)",3
F,"(1.7, 1.2875, 0.4375)","(14.52911875, 11.5949455, 17.57669)",12
M,"(1.45, 1.125, 0.35)","(10.77281, 6.123492, 10.20582)",14
M,"(1.6, 1.2625, 0.45)","(16.726205, 8.85921875, 10.2908685)",11
M,"(1.6375, 1.45, 0.5125)","(27.1871705, 9.68135425, 17.0380495)",17
I,"(1.4, 1.0625, 0.3375)","(10.53183925, 5.2446575, 6.690482)",9
M,"(1.2625, 1.025, 0.3125)","(8.1930055, 3.7704835, 4.3941725)",9
M,"(1.7375, 1.375, 0.5375)","(20.19901875, 15.3370795, 16.726205)",14
F,"(1.7, 1.375, 0.4375)","(23.1048425, 11.12717875, 12.8990225)",19
M,"(1.425, 1.1125, 0.375)","(14.288148, 5.8683465, 7.0590255)",8
I,"(1.175, 0.8875, 0.3125)","(5.953395, 2.79242575, 4.3941725)",8
I,"(1.55, 1.1875, 0.4)","(10.5176645, 4.7343665, 8.71747125)",11
M,"(1.2875, 1.05, 0.35)","(7.10154975, 4.365823, 8.221355)",13
I,"(1.1875, 0.9125, 0.3)","(7.597666, 3.10427025, 3.86970675)",8
F,"(1.5, 1.2, 0.4125)","(12.85649825, 7.654365, 9.4970825)",10
I,"(0.875, 0.65, 0.225)","(2.041164, 1.00640725, 1.63009625)",7
M,"(1.0125, 0.775, 0.25)","(4.9044635, 2.59397925, 3.118445)",7
F,"(1.5125, 1.1625, 0.3875)","(15.5071765, 7.55514175, 7.32834575)",10
M,"(1.4625, 1.125, 0.375)","(11.49572225, 8.0229085, 7.1157245)",11
M,"(1.6375, 1.3125, 0.45)","(17.690088, 8.32057825, 10.3475675)",13
M,"(1.25, 0.95, 0.3875)","(7.52679225, 3.86970675, 6.0951425)",19
M,"(1.55, 1.25, 0.5)","(13.05494475, 7.4559185, 12.190285)",12
I,"(0.925, 0.7, 0.2125)","(2.28213475, 1.28990225, 1.644271)",5
M,"(1.1625, 0.9, 0.2875)","(8.3631025, 3.95475525, 3.40194)",7
F,"(1.75, 1.3375, 0.4375)","(19.29183475, 13.60776, 14.514944)",15
I,"(0.85, 0.625, 0.175)","(2.948348, 1.20485375, 1.5592225)",7
F,"(1.4875, 1.1625, 0.375)","(15.35125425, 4.706017, 7.5126175)",8
M,"(1.5625, 1.175, 0.3625)","(19.1359125, 7.0023265, 9.19941275)",13
F,"(1.6125, 1.3125, 0.425)","(17.39241825, 8.0229085, 9.63883)",10
